phrase,speaker,audio_file
My dad ali busy,Timothy,122.wav
My brother ali ku school,Timothy,123.wav
My sister ali ku town,Timothy,124.wav
My mom amakonda business,Timothy,125.wav
Family yanga ili bwino,Timothy,126.wav
Ndikufuna I just visit home,Timothy,127.wav
Tikumane ndi family,Timothy,128.wav
Family gathering lero,Timothy,129.wav
Ndikupita ku nyumba,Timothy,130.wav
Tiyeni out,Timothy,131.wav
Tikumane ku cafe,Timothy,132.wav
Ndikufuna I should talk to you,Timothy,133.wav
Tiyeni drink soda,Timothy,134.wav
Let us watch a movie,Timothy,135.wav
Story yako ili funny,Timothy,136.wav
That movie iri nice,Timothy,137.wav
Game inali good,Timothy,138.wav
Ndikumva headache,Timothy,139.wav
Ndikumva cold pang'ono,Timothy,140.wav
Ndikufuna medicine,Timothy,140.wav
Ndikumva sick today,Timothy,142.wav
Ndikupita ku hospital,Timothy,143.wav
Doctor ali busy,Timothy,144.wav
Ndikumva bwino now,Timothy,145.wav
Ndikufuna rest pang'ono,Timothy,146.wav
Body yanga yatopa,Timothy,147.wav
Ndikufuna check health,Timothy,148.wav
Ndikupita ku market,Timothy,149.wav
Ndikupita ku shop,Timothy,150.wav
Ndibwera  later,Timothy,151.wav
Ndikupita ku bank,Timothy,152.wav
Ndikupita ku office,Timothy,153.wav
Ndikupita ku town,Timothy,154.wav
Ndikupita ku meeting,Timothy,155.wav
Ndikubwera soon,Timothy,156.wav
Ndikubwera later,Timothy,157.wav
Ndikubwera now,Timothy,158.wav
Bus ili full,Timothy,159.wav
Taxi ili busy,Timothy,160.wav
Driver akudikira,Timothy,161.wav
Ndikufuna seat,Timothy,162.wav
Ndikufuna ticket,Timothy,163.wav
Journey yayamba,Timothy,164.wav
Journey yatha,Timothy,165.wav
Tifika nthawi yanji,Timothy,166.wav
Ndikutsika next stop,Timothy,167.wav
Fuel wadula kwambiri,Timothy,168.wav
Price yakwezedwa,Timothy,169.wav
Business ili slow,Timothy,170.wav
Market ili busy,Timothy,171.wav
Customers ndi ambiri,Timothy,172.wav
Ndikufuna to open a business,Timothy,173.wav
Ndikufuna start business,Timothy,174.wav
Business ili bwino,Timothy,175.wav
Ndikufuna I should buy stock,Timothy,176.wav
Profit ndiyochepa ,Timothy,177.wav
Computer yanga yavuta,Timothy,178.wav
Laptop siyikugwira,Timothy,179.wav
System yavuta,Timothy,180.wav
Please restart computer,Timothy,181.wav
Update system please,Timothy,182.wav
Software yavuta,Timothy,183.wav
App siyikugwira,Timothy,184.wav
Phone yangayavuta,Timothy,185.wav
Battery latha,Timothy,186.wav
Charger yasowa,Timothy,187.wav
Time ndi six koloko,Timothy,188.wav
Ndifika past seven,Timothy,189.wav
Ndikubwera pa eight,Timothy,190.wav
Tikumane pa nine,Timothy,191.wav
Ndikupita pa ten,Timothy,192.wav
Ndikubwera pa lunch time,Timothy,193.wav
Ndikubwera evening,Timothy,194.wav
Ndikubwera tomorrow,Timothy,195.wav
Ndikubwera next week,Timothy,196.wav
Ndikubwera soon,Timothy,197.wav
Zikomo kwambiri,Timothy,198.wav
Thanks for help,Timothy,199.wav
See you tomorrow,Timothy,200.wav
Tiona mawa,Timothy,201.wav
Good night,Timothy,202.wav
Take care,Timothy,203.wav
Travel safe,Timothy,204.wav
Talk to you later,Timothy,205.wav
Bye bye,Timothy,206.wav
Ndikupita now,Timothy,207.wav
Ndikufuna ask question,Timothy,208.wav
Please answer me,Timothy,209.wav
Ndikufuna I should understand bwino,Timothy,210.wav
Explain again please,Timothy,211.wav
Speak slowly ,Timothy,212.wav
Repeat again,Timothy,213.wav
Ndikufuna check something,Timothy,214.wav
Let me see,Timothy,215.wav
Let me check,Timothy,216.wav
Wait pang'ono,Timothy,217.wav
Ndikufuna to try again,Timothy,218.wav
Please confirm again,Timothy,219.wav
Ndikufuna change plan,Timothy,220.wav
Let us start now,Timothy,221.wav
Let us finish quickly,Timothy,222.wav
Ndikufuna to go home,Timothy,223.wav
Ndikufuna rest now,Timothy,224.wav
Ndikufuna eat something,Timothy,225.wav
Ndikufuna drink water,Timothy,226.wav
Ndikufuna relax pang'ono,Timothy,227.wav
Ndikufuna see you,Timothy,228.wav
Ndikufuna talk later,Timothy,229.wav
Ndikufuna meet tomorrow,Timothy,230.wav
Ndikufuna check phone,Timothy,231.wav
Ndikufuna buy food,Timothy,232.wav
Ndikufuna buy airtime,Timothy,233.wav
Ndikufuna use internet,Timothy,234.wav
Ndikufuna connect WiFi,Timothy,235.wav
Ndikufuna call friend,Timothy,236.wav
Ndikufuna send message,Timothy,237.wav
Ndikufuna open door,Timothy,238.wav
Ndikufuna close window,Timothy,239.wav
Ndikufuna clean house,Timothy,240.wav
Ndikufuna wash clothes,Timothy,241.wav
Ndikufuna cook food,Timothy,242.wav
Ndikufuna go outside,Timothy,243.wav
Ndikufuna come back,Timothy,244.wav
Ndikufuna stay here,Timothy,245.wav
Ndikufuna leave now,Timothy,246.wav
Ndikufuna I should go now,Timothy,247.wav
